time, crashed
2023-07-03 09:54:10,started
2023-07-03 10:02:31,started
2023-07-03 10:08:03,started
2023-07-03 10:09:38,started
2023-07-03 19:04:05,started
2023-07-03 23:23:33,started
2023-07-04 06:20:13,started
2023-07-04 08:48:43,started
2023-07-04 10:02:33,started
2023-07-04 12:59:07,started
2023-07-04 13:21:01,started
2023-07-04 16:08:17,started
2023-07-04 16:08:49,started
2023-07-04 18:47:36,started
2023-07-04 23:12:19,started
2023-07-05 07:40:05,started
2023-07-05 08:37:38,started
2023-07-05 08:52:24,started
2023-07-05 18:01:08,started
2023-07-05 22:31:19,started
2023-07-05 23:47:00,started
2023-07-06 07:35:51,started
2023-07-06 11:13:32,started
2023-07-06 15:28:17,started
2023-07-06 18:58:15,started
2023-07-06 20:47:48,started
2023-07-06 22:56:42,started
2023-07-07 06:43:11,started
2023-07-07 19:02:38,started
2023-07-07 20:10:36,started
2023-07-07 23:22:42,started
2023-07-08 06:37:49,started
